one_month_accumulative,three_month_accumulative,"""zhima_score_num""","""anti_risk_score""",d0,d1,d7,d14,d30
0.0,10.0,673,18.0,1,1,1,1,1
4.0,18.0,593,14.0,0,0,0,0,0
23.0,42.0,650,15.0,0,0,0,0,0
9.0,19.0,550,79.0,0,0,0,0,0
2.0,18.0,561,3.0,1,1,1,1,1
1.0,15.0,640,5.0,1,1,1,1,1
2.0,19.0,632,19.0,0,0,0,0,0
2.0,7.0,657,1.0,1,0,0,0,0
0.0,2.0,571,27.0,1,1,1,1,1
3.0,20.0,564,19.0,0,0,0,0,0
1.0,15.0,563,30.0,0,0,0,0,0
3.0,26.0,567,8.0,1,1,1,0,0
4.0,28.0,551,49.0,0,0,0,0,0
2.0,7.0,609,41.0,0,0,0,0,0
0.0,8.0,581,21.0,0,0,0,0,0
10.0,27.0,697,5.0,1,0,0,0,0
6.0,13.0,654,3.0,0,0,0,0,0
3.0,10.0,676,9.0,0,0,0,0,0
1.0,6.0,630,20.0,0,0,0,0,0
11.0,26.0,601,66.0,1,1,1,1,1
0.0,5.0,561,21.0,1,1,1,1,1
3.0,17.0,597,3.0,0,0,0,0,0
6.0,14.0,736,2.0,0,0,0,0,0
1.0,10.0,567,7.0,1,1,0,0,0
4.0,35.0,640,29.0,0,0,0,0,0
0.0,1.0,566,22.0,1,1,1,1,1
1.0,6.0,580,10.0,1,0,0,0,0
18.0,32.0,630,10.0,0,0,0,0,0
4.0,51.0,661,21.0,0,0,0,0,0
12.0,22.0,660,1.0,1,0,0,0,0
8.0,18.0,639,8.0,0,0,0,0,0
0.0,4.0,614,6.0,1,1,1,1,1
3.0,25.0,551,8.0,1,1,1,0,0
3.0,9.0,608,4.0,0,0,0,0,0
2.0,23.0,633,9.0,0,0,0,0,0
1.0,15.0,677,1.0,0,0,0,0,0
2.0,18.0,593,14.0,0,0,0,0,0
1.0,5.0,662,20.0,0,0,0,0,0
0.0,1.0,600,31.0,0,0,0,0,0
2.0,9.0,606,21.0,0,0,0,0,0
0.0,5.0,593,7.0,1,0,0,0,0
8.0,39.0,591,5.0,0,0,0,0,0
2.0,10.0,652,12.0,0,0,0,0,0
0.0,5.0,568,31.0,0,0,0,0,0
1.0,5.0,576,32.0,0,0,0,0,0
0.0,3.0,585,32.0,1,1,1,1,1
0.0,13.0,668,19.0,1,1,0,0,0
2.0,13.0,596,24.0,0,0,0,0,0
0.0,12.0,691,9.0,0,0,0,0,0
13.0,29.0,647,12.0,1,0,0,0,0
1.0,11.0,564,26.0,0,0,0,0,0
3.0,18.0,691,1.0,0,0,0,0,0
0.0,7.0,639,42.0,1,1,1,0,0
6.0,12.0,623,4.0,1,1,1,1,1
1.0,19.0,588,18.0,0,0,0,0,0
10.0,15.0,666,4.0,0,0,0,0,0
3.0,8.0,667,30.0,1,0,0,0,0
0.0,1.0,623,15.0,0,0,0,0,0
0.0,5.0,570,45.0,0,0,0,0,0
12.0,40.0,676,3.0,1,0,0,0,0
2.0,30.0,619,16.0,1,1,0,0,0
0.0,4.0,637,22.0,0,0,0,0,0
0.0,13.0,576,12.0,1,1,1,0,0
0.0,0.0,621,25.0,0,0,0,0,0
10.0,12.0,585,20.0,0,0,0,0,0
16.0,20.0,550,11.0,1,0,0,0,0
2.0,13.0,597,38.0,0,0,0,0,0
8.0,22.0,673,6.0,0,0,0,0,0
1.0,6.0,606,15.0,0,0,0,0,0
0.0,17.0,596,9.0,1,1,1,1,1
5.0,20.0,606,6.0,0,0,0,0,0
5.0,18.0,588,24.0,1,1,1,1,1
0.0,9.0,593,32.0,1,1,1,1,1
3.0,3.0,559,26.0,0,0,0,0,0
0.0,8.0,588,19.0,1,1,1,1,1
0.0,5.0,622,5.0,0,0,0,0,0
3.0,17.0,625,19.0,0,0,0,0,0
0.0,12.0,583,11.0,1,1,1,1,1
1.0,7.0,566,15.0,1,1,1,1,1
15.0,25.0,604,49.0,1,0,0,0,0
18.0,29.0,670,16.0,0,0,0,0,0
7.0,16.0,620,35.0,0,0,0,0,0
3.0,12.0,561,18.0,1,1,0,0,0
11.0,20.0,695,8.0,0,0,0,0,0
2.0,4.0,551,50.0,0,0,0,0,0
10.0,17.0,588,11.0,0,0,0,0,0
10.0,29.0,676,12.0,0,0,0,0,0
15.0,21.0,555,17.0,1,1,0,0,0
0.0,3.0,693,60.0,0,0,0,0,0
17.0,31.0,687,9.0,0,0,0,0,0
0.0,3.0,588,12.0,1,1,0,0,0
4.0,10.0,573,8.0,0,0,0,0,0
0.0,6.0,584,20.0,1,1,1,0,0
0.0,3.0,612,14.0,1,0,0,0,0
21.0,47.0,569,32.0,1,1,1,0,0
14.0,21.0,579,85.0,1,0,0,0,0
10.0,27.0,728,5.0,0,0,0,0,0
0.0,11.0,561,25.0,1,1,1,1,1
9.0,15.0,550,47.0,1,1,0,0,0
0.0,5.0,599,46.0,0,0,0,0,0
13.0,20.0,615,37.0,0,0,0,0,0
3.0,8.0,653,6.0,0,0,0,0,0
12.0,25.0,551,27.0,1,1,1,1,1
0.0,7.0,613,6.0,0,0,0,0,0
2.0,15.0,566,13.0,0,0,0,0,0
8.0,26.0,635,11.0,1,0,0,0,0
0.0,17.0,647,35.0,1,1,1,1,1
0.0,3.0,610,23.0,1,1,0,0,0
1.0,10.0,616,39.0,0,0,0,0,0
5.0,10.0,578,45.0,1,0,0,0,0
1.0,13.0,726,5.0,1,1,1,1,1
8.0,22.0,577,27.0,1,0,0,0,0
1.0,3.0,603,21.0,0,0,0,0,0
0.0,6.0,550,23.0,0,0,0,0,0
1.0,16.0,613,32.0,1,1,1,1,1
0.0,14.0,557,53.0,0,0,0,0,0
2.0,6.0,550,5.0,1,1,1,0,0
7.0,25.0,627,14.0,1,0,0,0,0
13.0,30.0,577,17.0,0,0,0,0,0
3.0,10.0,726,5.0,0,0,0,0,0
2.0,21.0,700,28.0,1,1,0,0,0
3.0,21.0,726,11.0,0,0,0,0,0
2.0,5.0,558,11.0,0,0,0,0,0
12.0,33.0,614,14.0,0,0,0,0,0
0.0,6.0,644,24.0,0,0,0,0,0
1.0,20.0,672,32.0,0,0,0,0,0
8.0,24.0,593,10.0,0,0,0,0,0
0.0,7.0,602,54.0,0,0,0,0,0
0.0,6.0,596,24.0,1,1,1,1,1
0.0,6.0,624,18.0,0,0,0,0,0
0.0,12.0,631,11.0,0,0,0,0,0
8.0,11.0,604,3.0,1,1,0,0,0
2.0,28.0,611,2.0,1,1,1,1,1
6.0,30.0,598,13.0,0,0,0,0,0
0.0,5.0,552,39.0,1,1,1,1,1
8.0,14.0,553,6.0,0,0,0,0,0
0.0,8.0,605,24.0,1,1,1,1,1
5.0,25.0,628,4.0,0,0,0,0,0
8.0,21.0,628,19.0,0,0,0,0,0
0.0,14.0,672,4.0,0,0,0,0,0
6.0,11.0,677,12.0,1,1,0,0,0
8.0,28.0,634,10.0,0,0,0,0,0
3.0,18.0,564,19.0,1,1,1,1,0
3.0,4.0,642,1.0,0,0,0,0,0
3.0,3.0,550,33.0,0,0,0,0,0
1.0,7.0,601,16.0,0,0,0,0,0
8.0,26.0,613,24.0,1,1,1,1,1
1.0,12.0,560,24.0,1,1,1,1,1
3.0,9.0,602,23.0,0,0,0,0,0
4.0,14.0,567,7.0,0,0,0,0,0
2.0,16.0,604,9.0,0,0,0,0,0
10.0,21.0,621,5.0,0,0,0,0,0
27.0,61.0,612,12.0,0,0,0,0,0
1.0,6.0,550,52.0,1,1,0,0,0
16.0,50.0,600,33.0,1,0,0,0,0
1.0,3.0,605,28.0,0,0,0,0,0
3.0,13.0,589,4.0,0,0,0,0,0
0.0,3.0,659,6.0,1,1,0,0,0
13.0,24.0,608,7.0,1,0,0,0,0
6.0,16.0,585,35.0,1,1,1,1,1
5.0,8.0,550,12.0,0,0,0,0,0
31.0,50.0,675,13.0,0,0,0,0,0
0.0,14.0,550,53.0,1,1,1,1,1
2.0,2.0,573,17.0,0,0,0,0,0
1.0,3.0,564,6.0,0,0,0,0,0
5.0,30.0,602,16.0,0,0,0,0,0
6.0,10.0,601,57.0,0,0,0,0,0
